STATION,STATION_NAME,DATE,MMXT,MMNT,MNTM
COOP:301752,COOPERSTOWN NY US,200001,27.2,6.8,17.0
COOP:301752,COOPERSTOWN NY US,200002,34.5,15.3,24.9
COOP:301752,COOPERSTOWN NY US,200003,47.7,25.5,36.6
COOP:301752,COOPERSTOWN NY US,200004,52.1,32.7,42.4
COOP:301752,COOPERSTOWN NY US,200005,67.1,45.4,56.3
COOP:301752,COOPERSTOWN NY US,200006,74.4,54.8,64.6
COOP:301752,COOPERSTOWN NY US,200007,75.2,52.9,64.1
COOP:301752,COOPERSTOWN NY US,200008,75.9,54.5,65.2
COOP:301752,COOPERSTOWN NY US,200009,68.8,48.1,58.5
COOP:301752,COOPERSTOWN NY US,200010,59.2,36.8,48.0
COOP:301752,COOPERSTOWN NY US,200011,44.3,27.3,35.8
COOP:301752,COOPERSTOWN NY US,200012,28.4,11.5,20.0
COOP:301752,COOPERSTOWN NY US,200101,30.8,15.6,23.2
COOP:301752,COOPERSTOWN NY US,200102,33.9,14.3,24.1
COOP:301752,COOPERSTOWN NY US,200103,36.5,16.5,26.5
COOP:301752,COOPERSTOWN NY US,200104,55.7,31.2,43.5
COOP:301752,COOPERSTOWN NY US,200105,70.1,44.9,57.5
COOP:301752,COOPERSTOWN NY US,200106,76.3,53.1,64.7
COOP:301752,COOPERSTOWN NY US,200107,76.8,53.0,64.9
COOP:301752,COOPERSTOWN NY US,200108,83.8,56.8,70.3
COOP:301752,COOPERSTOWN NY US,200109,71.4,45.7,58.6
COOP:301752,COOPERSTOWN NY US,200110,62.3,36.7,49.5
COOP:301752,COOPERSTOWN NY US,200111,52.2,33.0,42.6
COOP:301752,COOPERSTOWN NY US,200112,41.8,24.9,33.4
COOP:301752,COOPERSTOWN NY US,200201,36.5,21.8,29.2
COOP:301752,COOPERSTOWN NY US,200202,39.0,18.8,28.9
COOP:301752,COOPERSTOWN NY US,200203,42.9,22.1,32.5
COOP:301752,COOPERSTOWN NY US,200204,56.8,33.5,45.2
COOP:301752,COOPERSTOWN NY US,200205,62.3,39.4,50.9
COOP:301752,COOPERSTOWN NY US,200206,76.0,53.0,64.5
COOP:301752,COOPERSTOWN NY US,200207,81.9,58.9,70.4
COOP:301752,COOPERSTOWN NY US,200208,82.7,55.9,69.3
COOP:301752,COOPERSTOWN NY US,200209,74.1,50.2,62.2
COOP:301752,COOPERSTOWN NY US,200210,55.6,37.0,46.3
COOP:301752,COOPERSTOWN NY US,200211,43.5,29.3,36.4
COOP:301752,COOPERSTOWN NY US,200212,33.5,14.5,24.0
COOP:301752,COOPERSTOWN NY US,200301,24.5,5.1,14.8
COOP:301752,COOPERSTOWN NY US,200302,29.4,8.6,19.0
COOP:301752,COOPERSTOWN NY US,200303,42.7,17.7,30.2
COOP:301752,COOPERSTOWN NY US,200304,50.5,31.0,40.8
COOP:301752,COOPERSTOWN NY US,200305,64.2,42.5,53.4
COOP:301752,COOPERSTOWN NY US,200306,72.6,53.7,63.2
COOP:301752,COOPERSTOWN NY US,200307,79.9,57.8,68.9
COOP:301752,COOPERSTOWN NY US,200308,79.8,59.5,69.7
COOP:301752,COOPERSTOWN NY US,200309,70.9,49.8,60.4
COOP:301752,COOPERSTOWN NY US,200310,56.5,34.6,45.6
COOP:301752,COOPERSTOWN NY US,200311,50.3,30.6,40.5
COOP:301752,COOPERSTOWN NY US,200312,36.4,17.9,27.2
COOP:301752,COOPERSTOWN NY US,200401,21.1,-1.3,9.9
COOP:301752,COOPERSTOWN NY US,200402,33.1,5.6,19.4
COOP:301752,COOPERSTOWN NY US,200403,46.3,22.7,34.5
COOP:301752,COOPERSTOWN NY US,200404,54.1,33.4,43.8
COOP:301752,COOPERSTOWN NY US,200405,72.2,46.1,59.2
COOP:301752,COOPERSTOWN NY US,200406,73.1,49.1,61.1
COOP:301752,COOPERSTOWN NY US,200407,79.9,-9999,-9999
COOP:301752,COOPERSTOWN NY US,200408,76.4,56.8,66.6
COOP:301752,COOPERSTOWN NY US,200409,74.0,50.4,62.2
COOP:301752,COOPERSTOWN NY US,200410,57.9,38.2,48.1
COOP:301752,COOPERSTOWN NY US,200411,48.2,28.8,38.5
COOP:301752,COOPERSTOWN NY US,200412,35.4,16.7,26.1
COOP:301752,COOPERSTOWN NY US,200501,26.4,6.5,16.5
COOP:301752,COOPERSTOWN NY US,200502,34.3,9.3,21.8
COOP:301752,COOPERSTOWN NY US,200503,36.6,17.0,26.8
COOP:301752,COOPERSTOWN NY US,200504,58.9,33.4,46.2
COOP:301752,COOPERSTOWN NY US,200506,81.3,58.8,70.1
COOP:301752,COOPERSTOWN NY US,200507,83.3,60.1,71.7
COOP:301752,COOPERSTOWN NY US,200508,82.7,59.2,71.0
COOP:301752,COOPERSTOWN NY US,200509,77.5,51.9,64.7
COOP:301752,COOPERSTOWN NY US,200510,57.0,40.9,49.0
COOP:301752,COOPERSTOWN NY US,200511,50.0,30.3,40.2
COOP:301752,COOPERSTOWN NY US,200512,31.9,16.8,24.4
COOP:306649,PLATTE CLOVE NY US,200001,29.2,8.7,19.0
COOP:306649,PLATTE CLOVE NY US,200002,35.8,16.1,26.0
COOP:306649,PLATTE CLOVE NY US,200003,47.3,25.3,36.3
COOP:306649,PLATTE CLOVE NY US,200004,50.2,30.5,40.4
COOP:306649,PLATTE CLOVE NY US,200005,64.8,43.0,53.9
COOP:306649,PLATTE CLOVE NY US,200006,71.6,51.5,61.6
COOP:306649,PLATTE CLOVE NY US,200007,72.6,51.8,62.2
COOP:306649,PLATTE CLOVE NY US,200008,73.3,53.0,63.2
COOP:306649,PLATTE CLOVE NY US,200009,68.3,46.1,57.2
COOP:306649,PLATTE CLOVE NY US,200010,59.9,36.8,48.4
COOP:306649,PLATTE CLOVE NY US,200011,44.0,27.5,35.8
COOP:306649,PLATTE CLOVE NY US,200012,28.6,10.7,19.7
COOP:306649,PLATTE CLOVE NY US,200101,30.8,14.4,22.6
COOP:306649,PLATTE CLOVE NY US,200102,34.1,14.8,24.5
COOP:306649,PLATTE CLOVE NY US,200103,34.3,18.4,26.4
COOP:306649,PLATTE CLOVE NY US,200104,54.1,31.2,42.7
COOP:306649,PLATTE CLOVE NY US,200105,66.5,42.5,54.5
COOP:306649,PLATTE CLOVE NY US,200106,74.0,50.3,62.2
COOP:306649,PLATTE CLOVE NY US,200107,75.7,50.3,63.0
COOP:306649,PLATTE CLOVE NY US,200109,70.7,45.2,58.0
COOP:306649,PLATTE CLOVE NY US,200110,61.8,38.7,50.3
COOP:306649,PLATTE CLOVE NY US,200111,52.3,31.6,42.0
COOP:306649,PLATTE CLOVE NY US,200112,42.3,24.5,33.4
COOP:306649,PLATTE CLOVE NY US,200201,38.0,20.0,29.0
COOP:306649,PLATTE CLOVE NY US,200202,39.6,18.4,29.0
COOP:306649,PLATTE CLOVE NY US,200203,42.8,21.4,32.1
COOP:306649,PLATTE CLOVE NY US,200204,56.7,34.1,45.4
COOP:306649,PLATTE CLOVE NY US,200205,61.2,38.4,49.8
COOP:306649,PLATTE CLOVE NY US,200206,73.8,51.1,62.5
COOP:306649,PLATTE CLOVE NY US,200207,81.2,55.1,68.2
COOP:306649,PLATTE CLOVE NY US,200208,80.2,54.6,67.4
COOP:306649,PLATTE CLOVE NY US,200209,72.9,48.1,60.5
COOP:306649,PLATTE CLOVE NY US,200210,54.4,34.9,44.7
COOP:306649,PLATTE CLOVE NY US,200211,43.0,26.7,34.9
COOP:306649,PLATTE CLOVE NY US,200212,32.2,15.3,23.8
COOP:306649,PLATTE CLOVE NY US,200301,22.2,6.5,14.4
COOP:306649,PLATTE CLOVE NY US,200302,26.7,8.9,17.8
COOP:306649,PLATTE CLOVE NY US,200303,42.5,18.3,30.4
COOP:306649,PLATTE CLOVE NY US,200304,48.9,28.6,38.8
COOP:306649,PLATTE CLOVE NY US,200306,68.6,50.0,59.3
COOP:306649,PLATTE CLOVE NY US,200307,78.6,54.3,66.5
COOP:306649,PLATTE CLOVE NY US,200308,78.0,56.0,67.0
COOP:306649,PLATTE CLOVE NY US,200309,68.8,49.2,59.0
COOP:306649,PLATTE CLOVE NY US,200310,55.4,33.6,44.5
COOP:306649,PLATTE CLOVE NY US,200311,48.5,30.4,39.5
COOP:306649,PLATTE CLOVE NY US,200312,34.9,18.0,26.5
COOP:306649,PLATTE CLOVE NY US,200401,21.5,3.9,12.7
COOP:306649,PLATTE CLOVE NY US,200402,33.9,9.0,21.5
COOP:306649,PLATTE CLOVE NY US,200403,44.0,22.0,33.0
COOP:306649,PLATTE CLOVE NY US,200404,54.5,31.7,43.1
COOP:306649,PLATTE CLOVE NY US,200405,69.3,45.4,57.4
COOP:306649,PLATTE CLOVE NY US,200406,72.4,47.9,60.2
COOP:306649,PLATTE CLOVE NY US,200407,75.4,53.8,64.6
COOP:306649,PLATTE CLOVE NY US,200408,75.2,54.2,64.7
COOP:306649,PLATTE CLOVE NY US,200409,71.4,48.6,60.0
COOP:306649,PLATTE CLOVE NY US,200410,56.6,36.8,46.7
COOP:306649,PLATTE CLOVE NY US,200411,49.6,27.6,38.6
COOP:306649,PLATTE CLOVE NY US,200412,33.9,15.6,24.8
COOP:306649,PLATTE CLOVE NY US,200509,74.7,48.7,61.7
COOP:306649,PLATTE CLOVE NY US,200510,56.6,38.2,47.4
COOP:306649,PLATTE CLOVE NY US,200511,50.7,27.4,39.1
COOP:306649,PLATTE CLOVE NY US,200512,31.8,12.2,22.0
COOP:300785,BOONVILLE 4 SSW NY US,200001,23.4,4.9,14.2
COOP:300785,BOONVILLE 4 SSW NY US,200002,30.1,14.4,22.3
COOP:300785,BOONVILLE 4 SSW NY US,200003,43.5,26.4,35.0
COOP:300785,BOONVILLE 4 SSW NY US,200004,47.6,31.1,39.4
COOP:300785,BOONVILLE 4 SSW NY US,200005,64.6,45.4,55.0
COOP:300785,BOONVILLE 4 SSW NY US,200006,71.1,52.3,61.7
COOP:300785,BOONVILLE 4 SSW NY US,200007,70.5,54.2,62.4
COOP:300785,BOONVILLE 4 SSW NY US,200008,71.6,55.4,63.5
COOP:300785,BOONVILLE 4 SSW NY US,200009,64.3,46.7,55.5
COOP:300785,BOONVILLE 4 SSW NY US,200010,54.5,38.5,46.5
COOP:300785,BOONVILLE 4 SSW NY US,200011,39.7,27.4,33.6
COOP:300785,BOONVILLE 4 SSW NY US,200012,24.3,9.8,17.1
COOP:300785,BOONVILLE 4 SSW NY US,200101,25.3,12.8,19.1
COOP:300785,BOONVILLE 4 SSW NY US,200102,28.5,12.3,20.4
COOP:300785,BOONVILLE 4 SSW NY US,200103,31.1,17.5,24.3
COOP:300785,BOONVILLE 4 SSW NY US,200104,50.2,31.8,41.0
COOP:300785,BOONVILLE 4 SSW NY US,200105,64.8,46.7,55.8
COOP:300785,BOONVILLE 4 SSW NY US,200106,70.5,53.1,61.8
