STATION,STATION_NAME,DATE,MMXT,MMNT,MNTM
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200001,32.7,14.8,23.8
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200002,41.1,25.5,33.3
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200003,54.1,33.4,43.8
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200004,58.5,37.8,48.2
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200005,72.7,50.9,61.8
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200006,78.5,59.5,69
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200007,80.2,60.4,70.3
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200008,80,60.4,70.2
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200009,73.1,51.8,62.5
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200010,65.4,45.4,55.4
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200011,47,32.7,39.9
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200012,26.2,10.3,18.3
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200101,31.9,20,26
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200102,37.3,23.5,30.4
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200103,43.6,26.7,35.2
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200104,62.7,40.2,51.5
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200105,71.6,51.2,61.4
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200106,79.3,58.1,68.7
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200107,84.8,60.6,72.7
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200108,83.9,62.9,73.4
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200109,73.9,52.2,63.1
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200110,62.9,44.3,53.6
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200111,57.9,39,48.5
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200112,43.6,30.4,37
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200201,42.3,28.1,35.2
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200202,43.7,26.1,34.9
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200203,45.5,27.6,36.6
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200204,61.9,42.9,52.4
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200205,67.2,45.4,56.3
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200206,84,60.4,72.2
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200207,89.4,65.7,77.6
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200208,85.3,63.1,74.2
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200209,82,56,69
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200210,60.5,40.7,50.6
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200211,46.5,33.7,40.1
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200212,35.8,22.8,29.3
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200301,27.6,14,20.8
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200302,32,15.7,23.9
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200303,47.4,25.6,36.5
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200304,59.8,37.7,48.8
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200305,66.5,47.3,56.9
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200306,77.2,55.4,66.3
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200307,82.4,60.8,71.6
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200308,82.8,62.8,72.8
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200309,73.6,52.1,62.9
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200310,62.8,40.8,51.8
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200311,53.7,37,45.4
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200312,38,25.6,31.8
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200401,27.8,13.1,20.5
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200402,35.6,20.3,28
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200403,48.6,32.6,40.6
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200404,62,40.1,51.1
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200405,73.5,50.5,62
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200406,77.9,56.8,67.4
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200407,82.4,62.1,72.3
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200408,77.2,58.9,68.1
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200409,78.4,54,66.2
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200410,62.6,42.4,52.5
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200411,50.3,35.4,42.9
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200412,36.5,21.9,29.2
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200501,31.1,17.2,24.2
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200502,36,22.6,29.3
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200503,42.4,25.6,34
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200504,61,39.4,50.2
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200505,68.2,44.6,56.4
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200506,85.9,62.7,74.3
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200507,85.5,64.3,74.9
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200508,84.7,63.1,73.9
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200509,79.5,55,67.3
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200510,64.5,44.1,54.3
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200511,52.3,33.4,42.9
COOP:338357,TOLEDO EXPRESS AIRPORT OH US,200512,30.3,20,25.2
COOP:334551,LIMA WWTP OH US,200001,33.9,16.5,25.2
COOP:334551,LIMA WWTP OH US,200002,43.3,28.6,36
COOP:334551,LIMA WWTP OH US,200003,54.6,35,44.8
COOP:334551,LIMA WWTP OH US,200004,60.1,39.6,49.9
